Nombre,Equipo,Posicion,Estadistica,Valor,Temporada,Imagen
Rubén Castro,Las Palmas,Delantero,goles,10,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/r/rub/large/4174.png
Juan Villar,Rayo,Delantero,goles,7,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/j/jua/large/19238.png
Stuani,Girona,Delantero,goles,6,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/s/stu/large/19119.png
Rafa Mir,Huesca,Delantero,goles,6,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/r/raf/large/34792.png
Luis Milla,Tenerife,Centrocampista,goles,6,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/l/lui/large/22836.png
Jonathas,Elche,Delantero,goles,5,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/j/jon/large/20989.png
Daniel Ojeda,Albacete,Delantero,goles,5,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/d/dan/large/36019.png
Shinji Okazaki,Málaga,Delantero,goles,4,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/o/oka/large/18949.png
Lozano,Cádiz,Delantero,goles,4,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/l/loz/large/31830.png
Shinji Okazaki,Huesca,Delantero,goles,4,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/o/oka/large/18949.png
Lozano,Girona,Delantero,goles,4,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/l/loz/large/31830.png
Óscar Pinchi,Extremadura UD,Delantero,goles,4,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/o/osc/large/34785.png
Mario Suárez,Rayo,Centrocampista,goles,4,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/m/mar/large/15643.png
Cristian Herrera,Lugo,Delantero,goles,4,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/c/cri/large/22820.png
Alfredo Ortuño,Oviedo,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/a/alf/large/19260.png
Marcos de Sousa,Mirandés,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/m/mar/large/39449.png
Guillermo,Numancia,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/g/gui/large/19633.png
Maikel Mesa,Albacete,Centrocampista,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/m/mai/large/22842.png
Christian Santos,Deportivo,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/c/chr/large/33840.png
Merquelanz,Mirandés,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/m/mer/large/43442.png
Maikel Mesa,Las Palmas,Centrocampista,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/m/mai/large/22842.png
Guillermo,Racing,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/g/gui/large/19633.png
Linares,Real Zaragoza,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/l/lin/large/19163.png
Hugo Fraile,Fuenlabrada,Centrocampista,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/h/hug/large/20287.png
Dani Gómez,Tenerife,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/d/dan/large/39213.png
Ernesto Gómez,Alcorcón,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/e/ern/large/46028.png
Pablo Valcarce,Ponferradina,Centrocampista,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/p/pab/large/30473.png
Trejo,Rayo,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/t/tre/large/16922.png
Curro,Numancia,Centrocampista,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/c/cur/large/34019.png
Darwin Núñez,Almería,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/d/dar/large/43058.png
Aketxe,Deportivo,Centrocampista,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/a/ake/large/25712.png
Alfredo Ortuño,Albacete,Delantero,goles,3,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/a/alf/large/19260.png
Jeisson Martínez,Fuenlabrada,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/j/jei/large/42501.png
Carrillo,Lugo,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/c/car/large/28409.png
Igor Zlatanovic,Numancia,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/i/igo/large/46078.png
Aitor,Sporting,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/a/ait/large/19748.png
Álex Bermejo,Tenerife,Centrocampista,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/a/ale/large/46016.png
Claudio Beauvue,Deportivo,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/c/cla/large/20009.png
Álex Alegría,Extremadura UD,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/a/ale/large/28596.png
Samuel Gyabaa,Oviedo,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/s/sam/large/43944.png
Álex,Cádiz,Centrocampista,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/a/ale/large/20379.png
Cristo González,Huesca,Delantero,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/c/cri/large/25980.png
Hacen,Lugo,Centrocampista,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/h/hac/large/40426.png
Shinji Kagawa,Real Zaragoza,Centrocampista,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/k/kag/large/19317.png
Jorge Giovanni Zarfino,Extremadura UD,Centrocampista,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/j/jor/large/38412.png
Juanjo Narváez,Las Palmas,Centrocampista,goles,2,2019_2020,//as01.epimg.net/img/comunes/fotos/fichas/deportistas/j/jua/large/23939.png
