Temporada,Jornada,Local,Visitante,Goles local,Goles visitante
2019_2020,1,Lugo,Extremadura,0,0
2019_2020,2,Albacete,Girona,1,0
2019_2020,3,Real Zaragoza,Elche,1,0
2019_2020,4,Racing,Cádiz,1,2
2019_2020,5,Rayo,Racing,2,0
2019_2020,6,Almería,Girona,3,1
2019_2020,7,Mirandés,Alcorcón,2,2
2019_2020,8,Las Palmas,Albacete,3,2
2019_2020,9,Extremadura,Elche,2,0
2019_2020,10,Alcorcón,Albacete,0,1
2019_2020,11,Rayo,Tenerife,2,1
2019_2020,12,Cádiz,Las Palmas,2,0
2019_2020,13,Albacete,Cádiz,1,0
2019_2020,14,Numancia,Albacete,1,0
2019_2020,15,Girona,Tenerife,1,0
2019_2020,16,Fuenlabrada,Huesca,3,2
2019_2020,17,Sporting,Tenerife,0,2
2019_2020,18,Numancia,Málaga,0,0
2019_2020,19,Albacete,Extremadura,1,1
2019_2020,20,Numancia,Girona,2,0
2019_2020,21,Deportivo,Tenerife,2,1
2019_2020,22,Extremadura,Alcorcón,0,0
2019_2020,23,Albacete,Fuenlabrada,1,1
2019_2020,24,Fuenlabrada,Málaga,0,0
2019_2020,25,Cádiz,Racing,1,0
2019_2020,26,Tenerife,Sporting,2,1
2019_2020,27,Almería,Racing,0,1
2019_2020,28,Deportivo,Girona,2,2
2019_2020,29,Sporting,Cádiz,1,0
2019_2020,30,Las Palmas,Málaga,1,1
2019_2020,31,Lugo,Cádiz,1,1
2019_2020,32,Fuenlabrada,Tenerife,1,0
2019_2020,33,Ponferradina,Elche,2,1
2019_2020,34,Elche,Girona,1,0
2019_2020,35,Lugo,Málaga,0,0
2019_2020,36,Deportivo,Ponferradina,2,1
2019_2020,37,Tenerife,Deportivo,1,1
2019_2020,38,Racing,Elche,1,2
2019_2020,39,Mirandés,Elche,1,0
2019_2020,40,Racing,Huesca,1,0
2019_2020,41,Albacete,Real Zaragoza,4,1
2019_2020,42,Las Palmas,Extremadura,5,1
2020_2021,1,Ponferradina,Castellón,1,2
2020_2021,2,Mirandés,Oviedo,1,1
2020_2021,3,Real Zaragoza,Las Palmas,2,2
2020_2021,4,Alcorcón,Real Zaragoza,0,3
2020_2021,5,Sabadell,Mirandés,0,2
2020_2021,6,Albacete,Sabadell,3,0
2020_2021,7,Espanyol,Mirandés,2,0
2020_2021,8,UD Logroñés,Lugo,2,3
2020_2021,9,Girona,Cartagena,2,1
2020_2021,10,Cartagena,Albacete,3,1
2020_2021,11,Albacete,Leganés,0,0
